,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
5,../data/texts/40.txt,6 12 pounds turkey (completely defrosted),pound turkey completely defrosted,pound turkey {meleagris gallopavo} completely defrosted,Component Match, 'turkey (whole
5,../data/texts/40.txt,6 12 pounds turkey (completely defrosted),pound turkey completely defrosted,pound turkey {meleagris gallopavo} completely defrosted,Component Match, raw):FOODON_00002805'
0,../data/texts/21.txt,1 1 cup sugar,cup sugar,cup sugar,Component Match,'sugar:FOODON_03420108'
1,../data/texts/21.txt,2 2 sticks salted butter (softened),stick salted butter softened,stick salted butter softened,Component Match,'butter (salted):FOODON_03302643'
2,../data/texts/21.txt,3 1 teaspoon vinegar,teaspoon vinegar,teaspoon vinegar,Component Match,'vinegar:FOODON_03301705'
3,../data/texts/21.txt,4 1 teaspoon vanilla,teaspoon vanilla,teaspoon vanilla,Component Match,'vanilla:NCBITAXON_51238'
4,../data/texts/21.txt,5 1 1/2 cups all purpose flour,cup purpose flour,cup all purpose flour,Component Match,'flour food product:FOODON_00001056'
5,../data/texts/21.txt,6 1/2 teaspoon baking soda,teaspoon baking soda,teaspoon baking soda,Component Match,'baking soda product:FOODON_00002385'
0,../data/texts/28.txt,"1 ¼ cup strawberry, sliced",cup strawberry sliced,cup strawberry {fragaria x ananassa} sliced,Component Match,'strawberry (sliced):FOODON_03304360'
1,../data/texts/28.txt,2 1 cup water,cup water,cup water,Component Match,'water:CHEBI_15377'
2,../data/texts/28.txt,3 1 cup whole milk,cup whole milk,cup whole milk,Component Match,'cow whole milk 3.5% fat:FOODON_03310780'
0,../data/texts/20.txt,1 1 bagel,bagel,bagel,Full Term Match,'bagel:FOODON_03309554'
1,../data/texts/20.txt,2 1 egg,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
2,../data/texts/20.txt,"3 1 slice cheddar cheese, kraft singles (other cheese works too)",slice cheddar cheese kraft single work,slice cheddar cheese kraft single other work too,Component Match,'cheddar cheese:FOODON_03302458'
3,../data/texts/20.txt,"4 2 2 slices deli ham or 2 slices deli roast beef, any lunch meat",slice deli ham or roast beef lunch meat,slice deli ham or roast beef any lunch meat,Component Match,'beef ham:FOODON_03316626'
3,../data/texts/20.txt,"4 2 2 slices deli ham or 2 slices deli roast beef, any lunch meat",slice deli ham or roast beef lunch meat,slice deli ham or roast beef any lunch meat,Component Match, 'luncheon meat:FOODON_03310675'
3,../data/texts/20.txt,"4 2 2 slices deli ham or 2 slices deli roast beef, any lunch meat",slice deli ham or roast beef lunch meat,slice deli ham or roast beef any lunch meat,Component Match, 'roast beef:FOODON_00002734'
0,../data/texts/48.txt,"1 3 quarts popped popcorn, remove unpopped kernels",quart popped popcorn remove unpopped kernel,quart popped popcorn remove unpopped kernel,Component Match,'popcorn (popped):FOODON_03302179'
0,../data/texts/48.txt,"1 3 quarts popped popcorn, remove unpopped kernels",quart popped popcorn remove unpopped kernel,quart popped popcorn remove unpopped kernel,Component Match, 'popcorn (unpopped):FOODON_03301832'
0,../data/texts/48.txt,"1 3 quarts popped popcorn, remove unpopped kernels",quart popped popcorn remove unpopped kernel,quart popped popcorn remove unpopped kernel,Component Match, 'quart:UO_0010029'
1,../data/texts/48.txt,2 3⁄4 cup butter,3⁄4 cup butter,3⁄4 cup butter,Component Match,'butter:FOODON_03310351'
2,../data/texts/48.txt,3 1⁄4 cup vegetable oil,1⁄4 cup vegetable oil,1⁄4 cup vegetable oil,Component Match,'vegetable oil:FOODON_03305263'
3,../data/texts/48.txt,4 1 (16 ounce) bag miniature marshmallows,ounce bag miniature marshmallow,ounce bag miniature marshmallow {althaea officinalis},Component Match,'bag:NCIT_C43167'
3,../data/texts/48.txt,4 1 (16 ounce) bag miniature marshmallows,ounce bag miniature marshmallow,ounce bag miniature marshmallow {althaea officinalis},Component Match, 'marshmallow:FOODON_03305639'
3,../data/texts/48.txt,4 1 (16 ounce) bag miniature marshmallows,ounce bag miniature marshmallow,ounce bag miniature marshmallow {althaea officinalis},Component Match, 'ounce:NCIT_C48519'
4,../data/texts/48.txt,5 1 (8 ounce) container roasted unsalted peanuts,ounce container roasted unsalted peanut,ounce container roasted unsalted peanut {arachis hypogaea},Component Match,'container:NCIT_C43186'
4,../data/texts/48.txt,5 1 (8 ounce) container roasted unsalted peanuts,ounce container roasted unsalted peanut,ounce container roasted unsalted peanut {arachis hypogaea},Component Match, 'ounce:NCIT_C48519'
4,../data/texts/48.txt,5 1 (8 ounce) container roasted unsalted peanuts,ounce container roasted unsalted peanut,ounce container roasted unsalted peanut {arachis hypogaea},Component Match, 'peanut (whole
4,../data/texts/48.txt,5 1 (8 ounce) container roasted unsalted peanuts,ounce container roasted unsalted peanut,ounce container roasted unsalted peanut {arachis hypogaea},Component Match, roasted):FOODON_03306901'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match,'30350 - bitter chocolate (efsa foodex2):FOODON_03543035'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'bag:NCIT_C43167'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'candy corn:FOODON_03302541'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'chocolate candy:FOODON_03400288'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'nut candy:FOODON_00002060'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'orange (whole
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, raw):FOODON_03309832'
5,../data/texts/48.txt,6 1 (16 ounce) bag M&M's plain chocolate candy (I use orange and black candy corn for Halloween and no nuts.),ounce bag and plain chocolate candy use orange black corn for halloween no nut,ounce bag m and plain chocolate candy i use orange black corn {zea mays subsp. mays} for halloween no nut,Component Match, 'ounce:NCIT_C48519'
0,../data/texts/16.txt,1 4 salmon steaks (each weighing approx. 8 oz),salmon steak weighing approximate ounce,salmon steak each weighing approximate ounce,Component Match,'ounce:NCIT_C48519'
0,../data/texts/16.txt,1 4 salmon steaks (each weighing approx. 8 oz),salmon steak weighing approximate ounce,salmon steak each weighing approximate ounce,Component Match, 'salmon:FOODON_00003473'
1,../data/texts/16.txt,2 3 tablespoons olive oil,tablespoon olive oil,tablespoon olive oil,Component Match,'olive oil:FOODON_03301826'
2,../data/texts/16.txt,3 2 tablespoons lemon juice,tablespoon lemon juice,tablespoon lemon juice,Component Match,'lemon juice:FOODON_03305428'
3,../data/texts/16.txt,"4 1 spring onion, minced",spring onion minced,spring onion {allium cepa} minced,Component Match,'welsh onion (whole):FOODON_00003172'
4,../data/texts/16.txt,5 6 tablespoons limoncello,tablespoon limoncello,tablespoon limoncello,No Match,
5,../data/texts/16.txt,6 1 teaspoon oregano,teaspoon oregano,teaspoon oregano {origanum vulgare},Component Match,'12710 - marjoram
5,../data/texts/16.txt,6 1 teaspoon oregano,teaspoon oregano,teaspoon oregano {origanum vulgare},Component Match, dry (efsa foodex2):FOODON_03541271'
6,../data/texts/16.txt,7 2 tablespoons minced parsley,tablespoon minced parsley,tablespoon minced parsley,Component Match,'parsley leaf (whole):FOODON_00002942'
0,../data/texts/12.txt,1 5 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/texts/12.txt,"2 150 grams sugar (/, 5 1/3 ounces)",sugar ounce,gram sugar ounce,Component Match,'ounce:NCIT_C48519'
1,../data/texts/12.txt,"2 150 grams sugar (/, 5 1/3 ounces)",sugar ounce,gram sugar ounce,Component Match, 'sugar:FOODON_03420108'
2,../data/texts/12.txt,"3 100 grams all purpose flour (/, 3 1/2 ounces)",purpose flour ounce,gram all purpose flour ounce,Component Match,'flour food product:FOODON_00001056'
2,../data/texts/12.txt,"3 100 grams all purpose flour (/, 3 1/2 ounces)",purpose flour ounce,gram all purpose flour ounce,Component Match, 'ounce:NCIT_C48519'
3,../data/texts/12.txt,4 1 teaspoon baking powder,teaspoon baking powder,teaspoon baking powder,Component Match,'baking powder:FOODON_03301940'
0,../data/texts/14.txt,"1 15 oz garbanzo beans, 1 can, drained and rinsed",ounce garbanzo bean can drained and rinsed,ounce garbanzo {cicer arietinum} bean can drained and rinsed,Component Match,'10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054'
0,../data/texts/14.txt,"1 15 oz garbanzo beans, 1 can, drained and rinsed",ounce garbanzo bean can drained and rinsed,ounce garbanzo {cicer arietinum} bean can drained and rinsed,Component Match, 'ounce:NCIT_C48519'
1,../data/texts/14.txt,2 ¼ teaspoon salt,teaspoon salt,teaspoon salt,Component Match,'salt:CHEBI_24866'
2,../data/texts/14.txt,3 1 clove garlic,clove garlic,clove garlic {allium sativum},Full Term Match,'garlic clove:FOODON_00003583'
3,../data/texts/14.txt,4 ½ teaspoon ground cumin,teaspoon ground cumin,teaspoon ground cumin,Component Match,'cumin seed (whole):FOODON_00003396'
4,../data/texts/14.txt,5 ½ cup basil pesto,cup basil pesto,cup basil {ocimum basilicum} pesto,Component Match,'basil (whole or parts):FOODON_03000233'
4,../data/texts/14.txt,5 ½ cup basil pesto,cup basil pesto,cup basil {ocimum basilicum} pesto,Component Match, 'pesto sauce:FOODON_03310218'
5,../data/texts/14.txt,6 1 tablespoon lemon juice,tablespoon lemon juice,tablespoon lemon juice,Component Match,'lemon juice:FOODON_03305428'
6,../data/texts/14.txt,7 2 tablespoons water,tablespoon water,tablespoon water,Component Match,'water:CHEBI_15377'
0,../data/texts/10.txt,"1 3 avocados (ripe, I live in California now so I use Hass, I actually prefer them to the larger, fruitier avocados in South Florida)",avocado ripe live in california now use hass actually prefer to larger fruitier south florida,avocado {persea americana} ripe i live in california now so use hass actually prefer them to the larger fruitier south florida,Component Match,'avocado (whole
0,../data/texts/10.txt,"1 3 avocados (ripe, I live in California now so I use Hass, I actually prefer them to the larger, fruitier avocados in South Florida)",avocado ripe live in california now use hass actually prefer to larger fruitier south florida,avocado {persea americana} ripe i live in california now so use hass actually prefer them to the larger fruitier south florida,Component Match, raw):FOODON_03305236'
1,../data/texts/10.txt,2 1 1/2 cups fresh tomatoes (cut into bite-sized chunks),cup fresh tomato cut into bite sized chunk,cup fresh tomato {solanum lycopersicum} cut into bite sized chunk,Component Match,'cut:ENVO_00000474'
1,../data/texts/10.txt,2 1 1/2 cups fresh tomatoes (cut into bite-sized chunks),cup fresh tomato cut into bite sized chunk,cup fresh tomato {solanum lycopersicum} cut into bite sized chunk,Component Match, 'food (fresh):FOODON_00002457'
1,../data/texts/10.txt,2 1 1/2 cups fresh tomatoes (cut into bite-sized chunks),cup fresh tomato cut into bite sized chunk,cup fresh tomato {solanum lycopersicum} cut into bite sized chunk,Component Match, 'tomato (whole
1,../data/texts/10.txt,2 1 1/2 cups fresh tomatoes (cut into bite-sized chunks),cup fresh tomato cut into bite sized chunk,cup fresh tomato {solanum lycopersicum} cut into bite sized chunk,Component Match, raw):FOODON_03309927'
2,../data/texts/10.txt,3 1 red onion (sliced),red onion sliced,red onion {allium cepa} sliced,Component Match,'food (sliced):FOODON_00002455'
2,../data/texts/10.txt,3 1 red onion (sliced),red onion sliced,red onion {allium cepa} sliced,Component Match, 'red onion (whole):FOODON_00003516'
3,../data/texts/10.txt,4 3 tablespoons white vinegar,tablespoon white vinegar,tablespoon white vinegar,Component Match,'vinegar:FOODON_03301705'
4,../data/texts/10.txt,5 2 tablespoons extra-virgin olive oil,tablespoon extra virgin olive oil,tablespoon extra virgin olive oil,Component Match,'olive oil (extra-virgin):FOODON_00002808'
5,../data/texts/10.txt,6 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
6,../data/texts/10.txt,7 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
0,../data/texts/43.txt,1 1 cup mayonnaise,cup mayonnaise,cup mayonnaise,Component Match,'mayonnaise:FOODON_03301440'
1,../data/texts/43.txt,2 4 green onions (chopped),green onion chopped,green onion {allium cepa} chopped,Component Match,'onion (chopped):FOODON_03316397'
1,../data/texts/43.txt,2 4 green onions (chopped),green onion chopped,green onion {allium cepa} chopped,Component Match, 'scallion (whole
1,../data/texts/43.txt,2 4 green onions (chopped),green onion chopped,green onion {allium cepa} chopped,Component Match, raw):FOODON_03311340'
2,../data/texts/43.txt,3 6 ounces cheddar cheese (shredded),ounce cheddar cheese shredded,ounce cheddar cheese shredded,Component Match,'cheddar cheese:FOODON_03302458'
2,../data/texts/43.txt,3 6 ounces cheddar cheese (shredded),ounce cheddar cheese shredded,ounce cheddar cheese shredded,Component Match, 'cheese (shredded):FOODON_03307846'
2,../data/texts/43.txt,3 6 ounces cheddar cheese (shredded),ounce cheddar cheese shredded,ounce cheddar cheese shredded,Component Match, 'ounce:NCIT_C48519'
3,../data/texts/43.txt,4 12 ounces bacon (cooked & crubled),ounce bacon cooked and crubled,ounce bacon cooked and crubled,Component Match,'bacon food product:FOODON_00001061'
3,../data/texts/43.txt,4 12 ounces bacon (cooked & crubled),ounce bacon cooked and crubled,ounce bacon cooked and crubled,Component Match, 'food (cooked):FOODON_00001181'
3,../data/texts/43.txt,4 12 ounces bacon (cooked & crubled),ounce bacon cooked and crubled,ounce bacon cooked and crubled,Component Match, 'ounce:NCIT_C48519'
4,../data/texts/43.txt,5 3 ounces slivered almonds,ounce slivered almond,ounce slivered almond {prunus dulcis},Component Match,'almond (whole
4,../data/texts/43.txt,5 3 ounces slivered almonds,ounce slivered almond,ounce slivered almond {prunus dulcis},Component Match, raw):FOODON_03301355'
4,../data/texts/43.txt,5 3 ounces slivered almonds,ounce slivered almond,ounce slivered almond {prunus dulcis},Component Match, 'ounce:NCIT_C48519'
0,../data/texts/49.txt,"1 1 onion (medium, sliced)",onion medium sliced,onion {allium cepa} medium sliced,Component Match,'allium cepa:NCBITAXON_4679'
0,../data/texts/49.txt,"1 1 onion (medium, sliced)",onion medium sliced,onion {allium cepa} medium sliced,Component Match, 'food (sliced):FOODON_00002455'
1,../data/texts/49.txt,"2 1 apple (medium, sliced)",apple medium sliced,apple {malus domestica} medium sliced,Component Match,'apple (sliced):FOODON_00002482'
2,../data/texts/49.txt,3 1 head red cabbage (shredded),head red cabbage shredded,head red cabbage shredded,Component Match,'red cabbage head:FOODON_00002922'
3,../data/texts/49.txt,4 1/3 cup sugar,cup sugar,cup sugar,Component Match,'sugar:FOODON_03420108'
4,../data/texts/49.txt,5 1/3 cup white vinegar,cup white vinegar,cup white vinegar,Component Match,'vinegar:FOODON_03301705'
5,../data/texts/49.txt,6 1/2 teaspoon salt,teaspoon salt,teaspoon salt,Component Match,'salt:CHEBI_24866'
6,../data/texts/49.txt,7 1/4 teaspoon pepper,teaspoon pepper,teaspoon pepper,Component Match,'sweet yellow bell pepper (whole):FOODON_00003548'
0,../data/texts/24.txt,1 2 cups full-fat greek yogurt,cup full fat greek yogurt,cup full fat greek yogurt,Component Match,'fat:FOODON_00003265'
0,../data/texts/24.txt,1 2 cups full-fat greek yogurt,cup full fat greek yogurt,cup full fat greek yogurt,Component Match, 'strained yogurt:FOODON_00003258'
1,../data/texts/24.txt,2 15 saffron strands,saffron strand,saffron strand,Component Match,'saffron thread:FOODON_00003441'
2,../data/texts/24.txt,3 1 tablespoon hot water,tablespoon hot water,tablespoon hot water,Component Match,'water:CHEBI_15377'
3,../data/texts/24.txt,4 ½ cup powdered sugar,cup powdered sugar,cup powdered sugar,Component Match,'sugar:FOODON_03420108'
4,../data/texts/24.txt,5 ½ teaspoon ground cardamom,teaspoon ground cardamom,teaspoon ground cardamom,Component Match,'cardamom ground:FOODON_03310743'
5,../data/texts/24.txt,"6 whipped cream, for garnish (optional)",whipped cream for garnish optional,whipped cream for garnish optional,Component Match,'whipped cream:FOODON_03302897'
6,../data/texts/24.txt,"7 crushed nut, for topping (optional)",crushed nut for topping optional,crushed nut for topping optional,Component Match,'nut (whole):FOODON_03303171'
0,../data/texts/18.txt,"1 3 stalks celery, sliced",stalk celery sliced,stalk celery {apium graveolens dulce group} sliced,Component Match,'celery stalk (whole):FOODON_00003411'
0,../data/texts/18.txt,"1 3 stalks celery, sliced",stalk celery sliced,stalk celery {apium graveolens dulce group} sliced,Component Match, 'food (sliced):FOODON_00002455'
1,../data/texts/18.txt,"2 ½ cucumber, peeled and cubed",cucumber peeled and cubed,cucumber peeled and cubed,Component Match,'cucumber (whole
1,../data/texts/18.txt,"2 ½ cucumber, peeled and cubed",cucumber peeled and cubed,cucumber peeled and cubed,Component Match, raw):FOODON_03301545'
1,../data/texts/18.txt,"2 ½ cucumber, peeled and cubed",cucumber peeled and cubed,cucumber peeled and cubed,Component Match, 'food (peeled):FOODON_00002655'
2,../data/texts/18.txt,3 ½ cup coconut water,cup coconut water,cup coconut water,Component Match,'coconut (whole):FOODON_00003449'
2,../data/texts/18.txt,3 ½ cup coconut water,cup coconut water,cup coconut water,Component Match, 'water:CHEBI_15377'
3,../data/texts/18.txt,"4 2 tablespoons jalapeño, seeded and chopped",tablespoon jalapeño seeded and chopped,tablespoon jalapeño seeded and chopped,No Match,
4,../data/texts/18.txt,5 ¼ teaspoon himalayan sea salt,teaspoon himalayan sea salt,teaspoon himalayan sea salt,Component Match,'salt:CHEBI_24866'
4,../data/texts/18.txt,5 ¼ teaspoon himalayan sea salt,teaspoon himalayan sea salt,teaspoon himalayan sea salt,Component Match, 'sea:ENVO_00000016'
0,../data/texts/29.txt,1 4 cups rolled oats,cup rolled oat,cup rolled oat,Component Match,'whole oats (raw):FOODON_03309855'
1,../data/texts/29.txt,"2 2 tablespoons seeds (chia, these are optional, I just love the texture they give)",tablespoon seed chia optional just love texture give,tablespoon seed chia these are optional i just love the texture they give,Component Match,'chia seed food product:FOODON_03000179'
2,../data/texts/29.txt,"3 1/2 cup peanuts (unsalted, chopped)",cup peanut unsalted chopped,cup peanut {arachis hypogaea} unsalted chopped,Component Match,'peanut (whole):FOODON_00003206'
3,../data/texts/29.txt,4 3/4 cup natural peanut butter (melted),cup natural peanut butter melted,cup natural peanut {arachis hypogaea} butter melted,Component Match,'peanut butter cup:FOODON_03307672'
4,../data/texts/29.txt,5 1/2 cup brown rice syrup (honey works too!),cup brown rice syrup honey work!,cup brown rice {oryza sativa} syrup honey work too!,Component Match,'brown rice:FOODON_00003436'
4,../data/texts/29.txt,5 1/2 cup brown rice syrup (honey works too!),cup brown rice syrup honey work!,cup brown rice {oryza sativa} syrup honey work too!,Component Match, 'honey syrup:FOODON_03305528'
4,../data/texts/29.txt,5 1/2 cup brown rice syrup (honey works too!),cup brown rice syrup honey work!,cup brown rice {oryza sativa} syrup honey work too!,Component Match, 'rice syrup:FOODON_03307722'
0,../data/texts/8.txt,1 1 cup chocolate chips,cup chocolate chips,cup chocolate chips,Component Match,'38900 - fries (finger chips) (efsa foodex2):FOODON_03543890'
0,../data/texts/8.txt,1 1 cup chocolate chips,cup chocolate chips,cup chocolate chips,Component Match, 'chocolate:FOODON_03307240'
1,../data/texts/8.txt,2 1 cup heavy cream,cup heavy cream,cup heavy cream,Component Match,'heavy cream:FOODON_03310795'
2,../data/texts/8.txt,3 1 egg,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
3,../data/texts/8.txt,4 whipped cream,whipped cream,whipped cream,Full Term Match,'whipped cream:FOODON_03302897'
4,../data/texts/8.txt,5 1 teaspoon vanilla extract,teaspoon vanilla extract,teaspoon vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
0,../data/texts/37.txt,1 3 lettuces (butter),lettuce butter,lettuce butter,Component Match,'butter:FOODON_03310351'
0,../data/texts/37.txt,1 3 lettuces (butter),lettuce butter,lettuce butter,Component Match, 'lettuce head food product:FOODON_00001998'
1,../data/texts/37.txt,2 20 milliliters red wine vinegar,milliliter red wine vinegar,milliliter red wine vinegar,Component Match,'milliliter:UO_0000098'
1,../data/texts/37.txt,2 20 milliliters red wine vinegar,milliliter red wine vinegar,milliliter red wine vinegar,Component Match, 'red wine:FOODON_03310272'
1,../data/texts/37.txt,2 20 milliliters red wine vinegar,milliliter red wine vinegar,milliliter red wine vinegar,Component Match, 'wine vinegar:FOODON_03301228'
2,../data/texts/37.txt,3 2 teaspoons Dijon mustard,teaspoon dijon mustard,teaspoon dijon mustard,Component Match,'mustard (dijon):FOODON_03306361'
3,../data/texts/37.txt,4 80 milliliters extra virgin olive oil,milliliter extra virgin olive oil,milliliter extra virgin olive oil,Component Match,'milliliter:UO_0000098'
3,../data/texts/37.txt,4 80 milliliters extra virgin olive oil,milliliter extra virgin olive oil,milliliter extra virgin olive oil,Component Match, 'olive oil (extra-virgin):FOODON_00002808'
4,../data/texts/37.txt,5 1/4 cup sliced green olives (pitted),cup sliced green olife pitted,cup sliced green olife pitted,Component Match,'food (sliced):FOODON_00002455'
5,../data/texts/37.txt,6 1/4 cup sliced black olives (pitted),cup sliced black olife pitted,cup sliced black olife pitted,Component Match,'food (sliced):FOODON_00002455'
6,../data/texts/37.txt,"7 2 vine ripened tomatoes (de-seeded, chopped)",vine ripened tomato de seeded chopped,vine ripened tomato {solanum lycopersicum} de seeded chopped,Component Match,'tomato (whole
6,../data/texts/37.txt,"7 2 vine ripened tomatoes (de-seeded, chopped)",vine ripened tomato de seeded chopped,vine ripened tomato {solanum lycopersicum} de seeded chopped,Component Match, raw):FOODON_03309927'
0,../data/texts/44.txt,1 6 tablespoons butter (melted),tablespoon butter melted,tablespoon butter melted,Component Match,'butter:FOODON_03310351'
1,../data/texts/44.txt,2 3 cups powdered sugar,cup powdered sugar,cup powdered sugar,Component Match,'sugar:FOODON_03420108'
2,../data/texts/44.txt,3 2 teaspoons vanilla,teaspoon vanilla,teaspoon vanilla,Component Match,'vanilla:NCBITAXON_51238'
3,../data/texts/44.txt,4 3 tablespoons heavy cream ({can substitute milk}),tablespoon heavy cream {can substitute milk },tablespoon heavy cream {can substitute milk },Component Match,'cream substitute:FOODON_03305131'
