,input_file,sample,processed_sample,processed_sample_(scientific),status,matched_component
5,../data/AL/45.ann,6 mushroom soup,mushroom soup,mushroom soup,Full Term Match,'mushroom soup food product:FOODON_00002049'
6,../data/AL/45.ann,7 chicken,chicken,chicken {gallus gallus},Full Term Match,'chicken:FOODON_03411457'
7,../data/AL/45.ann,8 stuffing mix,stuffing mixture,stuffing mixture,Component Match,'food filling product:FOODON_00001868'
7,../data/AL/45.ann,8 stuffing mix,stuffing mixture,stuffing mixture,Component Match, 'mixture:CHEBI_60004'
8,../data/AL/45.ann,9 cream of mushroom soup,cream of mushroom soup,cream of mushroom soup,Full Term Match,'cream of mushroom soup:FOODON_03305128'
0,../data/AL/24.ann,1 cream,cream,cream,Full Term Match,'cream food product:FOODON_00001216'
1,../data/AL/24.ann,2 nut,nut,nut,Full Term Match,'nut (whole):FOODON_03303171'
2,../data/AL/24.ann,3 water,water,water,Full Term Match,'water:CHEBI_15377'
3,../data/AL/24.ann,4 greek yogurt,greek yogurt,greek yogurt,Full Term Match,'strained yogurt:FOODON_00003258'
4,../data/AL/24.ann,5 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
5,../data/AL/24.ann,6 cardamom,cardamom,cardamom,Full Term Match,'cardamom seed (whole):FOODON_00003792'
6,../data/AL/24.ann,7 saffron strands,saffron strand,saffron strand,Component Match,'saffron thread:FOODON_00003441'
0,../data/AL/30.ann,1 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
1,../data/AL/30.ann,2 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
2,../data/AL/30.ann,3 banana,banana,banana {musa x paradisiaca},Full Term Match,'cavendish banana (whole
2,../data/AL/30.ann,3 banana,banana,banana {musa x paradisiaca},Full Term Match, ripe):FOODON_03311513'
3,../data/AL/30.ann,4 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
0,../data/AL/20.ann,1 egg,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/AL/20.ann,2 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
2,../data/AL/20.ann,3 deli ham,deli ham,deli ham,Component Match,'ham food product:FOODON_00002502'
3,../data/AL/20.ann,4 roast beef,roast beef,roast beef,Full Term Match,'roast beef:FOODON_00002734'
4,../data/AL/20.ann,5 meat,meat,meat,No Match,
5,../data/AL/20.ann,6 bagel,bagel,bagel,Full Term Match,'bagel:FOODON_03309554'
0,../data/AL/43.ann,1 mayonnaise,mayonnaise,mayonnaise,Full Term Match,'mayonnaise:FOODON_03301440'
1,../data/AL/43.ann,2 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
2,../data/AL/43.ann,3 bacon,bacon,bacon,Full Term Match,'bacon food product:FOODON_00001061'
3,../data/AL/43.ann,4 slivered almonds,slivered almond,slivered almond {prunus dulcis},Component Match,'almond (whole
3,../data/AL/43.ann,4 slivered almonds,slivered almond,slivered almond {prunus dulcis},Component Match, raw):FOODON_03301355'
4,../data/AL/43.ann,5 green onions,green onion,green onion {allium cepa},Full Term Match,'scallion (whole
4,../data/AL/43.ann,5 green onions,green onion,green onion {allium cepa},Full Term Match, raw):FOODON_03311340'
0,../data/AL/3.ann,1 graham cracker,graham cracker,graham cracker,Component Match,'cracker:FOODON_00002711'
1,../data/AL/3.ann,2 marshmallows,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
2,../data/AL/3.ann,3 blueberries,blueberry,blueberry,Full Term Match,'blueberry (whole
2,../data/AL/3.ann,3 blueberries,blueberry,blueberry,Full Term Match, raw):FOODON_03302045'
3,../data/AL/3.ann,4 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match,'strawberry (whole
3,../data/AL/3.ann,4 strawberry,strawberry,strawberry {fragaria x ananassa},Full Term Match, raw):FOODON_03301722'
4,../data/AL/3.ann,5 milk chocolate candy bars,milk chocolate candy bar,milk chocolate candy bar,Full Term Match,'milk chocolate bar:FOODON_00003879'
0,../data/AL/7.ann,1 carrots,carrot,carrot {daucus carota},Full Term Match,'carrot root (whole
0,../data/AL/7.ann,1 carrots,carrot,carrot {daucus carota},Full Term Match, raw):FOODON_03301570'
1,../data/AL/7.ann,2 canning salt,canning salt,canning salt,Component Match,'salt:CHEBI_24866'
2,../data/AL/7.ann,3 carrots,carrot,carrot {daucus carota},Full Term Match,'carrot root (whole
2,../data/AL/7.ann,3 carrots,carrot,carrot {daucus carota},Full Term Match, raw):FOODON_03301570'
3,../data/AL/7.ann,4 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
4,../data/AL/7.ann,5 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
5,../data/AL/7.ann,6 orange juice,orange juice,orange juice,Full Term Match,'orange juice:FOODON_03301103'
6,../data/AL/7.ann,7 water,water,water,Full Term Match,'water:CHEBI_15377'
0,../data/AL/15.ann,1 beans,bean,bean,Full Term Match,'bean (whole):FOODON_00002753'
1,../data/AL/15.ann,2 hot dogs,hot dog,hot dog,Full Term Match,'hot dog:FOODON_00001009'
2,../data/AL/15.ann,3 horseradish mustard,horseradish mustard,horseradish mustard,Component Match,'horseradish:FOODON_03316284'
2,../data/AL/15.ann,3 horseradish mustard,horseradish mustard,horseradish mustard,Component Match, 'mustard food product:FOODON_00002053'
3,../data/AL/15.ann,4 cheddar cheese,cheddar cheese,cheddar cheese,Full Term Match,'cheddar cheese:FOODON_03302458'
4,../data/AL/15.ann,5 sweet potato,sweet potato,sweet potato {solanum tuberosum},Full Term Match,'sweet potato (whole):FOODON_00003445'
5,../data/AL/15.ann,6 tater tots,tater tot,tater tot,Full Term Match,'tater tot:FOODON_03311863'
6,../data/AL/15.ann,7 or,or,or,No Match,
0,../data/AL/38.ann,1 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
1,../data/AL/38.ann,2 basil leaves,basil leaves,basil {ocimum basilicum} leaves,Component Match,'basil (whole or parts):FOODON_03000233'
2,../data/AL/38.ann,3 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match,'tomato (whole
2,../data/AL/38.ann,3 tomatoes,tomato,tomato {solanum lycopersicum},Full Term Match, raw):FOODON_03309927'
3,../data/AL/38.ann,4 corn,corn,corn {zea mays subsp. mays},Full Term Match,'vegetable corn food product:FOODON_00001765'
4,../data/AL/38.ann,5 corn,corn,corn {zea mays subsp. mays},Full Term Match,'vegetable corn food product:FOODON_00001765'
5,../data/AL/38.ann,6 balsamic vinegar,balsamic vinegar,balsamic vinegar,Component Match,'vinegar:FOODON_03301705'
6,../data/AL/38.ann,7 cherry tomatoes,cherry tomato,cherry tomato {solanum lycopersicum},Full Term Match,'miniature tomato (whole):FOODON_00003773'
7,../data/AL/38.ann,8 creole,creole,creole,No Match,
8,../data/AL/38.ann,9 beefsteak,beefsteak,beefsteak,Full Term Match,'beef steak (raw):FOODON_03311663'
0,../data/AL/49.ann,1 onion,onion,onion {allium cepa},Full Term Match,'allium cepa:NCBITAXON_4679'
1,../data/AL/49.ann,2 apple,apple,apple {malus domestica},Full Term Match,'apple (whole):FOODON_00002473'
2,../data/AL/49.ann,3 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
3,../data/AL/49.ann,4 white vinegar,white vinegar,white vinegar,Component Match,'vinegar:FOODON_03301705'
4,../data/AL/49.ann,5 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
5,../data/AL/49.ann,6 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
6,../data/AL/49.ann,7 red cabbage,red cabbage,red cabbage,Full Term Match,'red cabbage head (raw):FOODON_03304685'
0,../data/AL/27.ann,1 chai tea,tea,tea,Full Term Match,'tea food product:FOODON_03315081'
1,../data/AL/27.ann,2 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
2,../data/AL/27.ann,3 pear,pear,pear {pyrus communis},Full Term Match,'pear (whole
2,../data/AL/27.ann,3 pear,pear,pear {pyrus communis},Full Term Match, raw):FOODON_03301724'
3,../data/AL/27.ann,4 honey,honey,honey,Full Term Match,'honey:UBERON_0036016'
4,../data/AL/27.ann,5 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
5,../data/AL/27.ann,6 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
0,../data/AL/11.ann,1 tequila,tequila,tequila,Full Term Match,'tequila:FOODON_03304704'
1,../data/AL/11.ann,2 coffee,coffee,coffee,Full Term Match,'coffee (liquid drink):FOODON_03301036'
2,../data/AL/11.ann,3 cream,cream,cream,Full Term Match,'cream food product:FOODON_00001216'
0,../data/AL/5.ann,1 onion,onion,onion {allium cepa},Full Term Match,'allium cepa:NCBITAXON_4679'
1,../data/AL/5.ann,2 curry powder,curry powder,curry powder,Full Term Match,'curry powder:FOODON_03301842'
2,../data/AL/5.ann,3 chicken,chicken,chicken {gallus gallus},Full Term Match,'chicken:FOODON_03411457'
0,../data/AL/21.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/21.ann,2 vinegar,vinegar,vinegar,Full Term Match,'vinegar:FOODON_03301705'
2,../data/AL/21.ann,3 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
3,../data/AL/21.ann,4 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
4,../data/AL/21.ann,5 baking soda,baking soda,baking soda,Full Term Match,'baking soda product:FOODON_00002385'
5,../data/AL/21.ann,6 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
0,../data/AL/23.ann,1 chocolate,chocolate,chocolate,Full Term Match,'chocolate:FOODON_03307240'
1,../data/AL/23.ann,2 creme de cacao,creme de cacao,creme de cacao,Component Match,'cacao food product:FOODON_00001215'
2,../data/AL/23.ann,3 vanilla vodka,vanilla vodka,vanilla vodka,Component Match,'vanilla:NCBITAXON_51238'
2,../data/AL/23.ann,3 vanilla vodka,vanilla vodka,vanilla vodka,Component Match, 'vodka:FOODON_03305518'
3,../data/AL/23.ann,4 marshmallows,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
0,../data/AL/40.ann,1 brown sugar,brown sugar,brown sugar,Full Term Match,'brown sugar:FOODON_03420156'
1,../data/AL/40.ann,2 thyme leaves,thyme leaves,thyme {thymus vulgaris} leaves,Component Match,'thyme food product:FOODON_00002312'
2,../data/AL/40.ann,3 turkey,turkey,turkey {meleagris gallopavo},Full Term Match,'turkey (whole
2,../data/AL/40.ann,3 turkey,turkey,turkey {meleagris gallopavo},Full Term Match, raw):FOODON_00002805'
3,../data/AL/40.ann,4 kosher salt,kosher salt,kosher salt,Component Match,'salt:CHEBI_24866'
4,../data/AL/40.ann,5 black pepper,black pepper,black pepper,Full Term Match,'black pepper (whole or parts):FOODON_03000242'
5,../data/AL/40.ann,6 orange zested,orange zested,orange zested,Component Match,'orange (whole
5,../data/AL/40.ann,6 orange zested,orange zested,orange zested,Component Match, raw):FOODON_03309832'
0,../data/AL/13.ann,1 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
1,../data/AL/13.ann,2 garbanzo beans,garbanzo bean,garbanzo {cicer arietinum} bean,Full Term Match,'10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054'
2,../data/AL/13.ann,3 cumin,cumin,cumin,Full Term Match,'cumin seed (whole):FOODON_00003396'
3,../data/AL/13.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
3,../data/AL/13.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
4,../data/AL/13.ann,5 red pepper,red pepper,red pepper,Full Term Match,'14050 - peppers
4,../data/AL/13.ann,5 red pepper,red pepper,red pepper,Full Term Match, dried (efsa foodex2):FOODON_03541405'
5,../data/AL/13.ann,6 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
6,../data/AL/13.ann,7 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
0,../data/AL/39.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/39.ann,2 basil leaves,basil leaves,basil {ocimum basilicum} leaves,Component Match,'basil (whole or parts):FOODON_03000233'
2,../data/AL/39.ann,3 ham,ham,ham,Full Term Match,'ham food product:FOODON_00002502'
3,../data/AL/39.ann,4 swiss cheese,swiss cheese,swiss cheese,Full Term Match,'swiss cheese:FOODON_03303659'
4,../data/AL/39.ann,5 pineapple,pineapple,pineapple {ananas comosus},Full Term Match,'pineapple (whole
4,../data/AL/39.ann,5 pineapple,pineapple,pineapple {ananas comosus},Full Term Match, raw):FOODON_03301831'
5,../data/AL/39.ann,6 sandwich bread,sandwich bread,sandwich bread,Component Match,'bread and similar products (eurofir):FOODON_03400817'
5,../data/AL/39.ann,6 sandwich bread,sandwich bread,sandwich bread,Component Match, 'sandwich:FOODON_03301906'
0,../data/AL/0.ann,1 rum,rum,rum,Full Term Match,'rum:FOODON_03301614'
1,../data/AL/0.ann,2 triple sec,triple sec,triple sec,Full Term Match,'triple sec:FOODON_00002551'
2,../data/AL/0.ann,3 orange juice,orange juice,orange juice,Full Term Match,'orange juice:FOODON_03301103'
0,../data/AL/41.ann,1 chocolates,chocolate,chocolate,Full Term Match,'chocolate:FOODON_03307240'
1,../data/AL/41.ann,2 cream cheese,cream cheese,cream cheese,Full Term Match,'cream cheese:FOODON_03301889'
2,../data/AL/41.ann,3 cake mix,cake mixture,cake mixture,Component Match,'cake food product:FOODON_00001278'
2,../data/AL/41.ann,3 cake mix,cake mixture,cake mixture,Component Match, 'mixture:CHEBI_60004'
3,../data/AL/41.ann,4 white,white,white,No Match,
4,../data/AL/41.ann,5 candy sprinkles,candy sprinkle,candy sprinkle,Component Match,'candy:FOODON_03301051'
0,../data/AL/17.ann,1 flour,flour,flour,Full Term Match,'flour food product:FOODON_00001056'
1,../data/AL/17.ann,2 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
2,../data/AL/17.ann,3 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
3,../data/AL/17.ann,4 cheese,cheese,cheese,Full Term Match,'cheese food product:FOODON_00001013'
4,../data/AL/17.ann,5 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
5,../data/AL/17.ann,6 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
0,../data/AL/19.ann,1 chickpeas,chickpea,chickpea {cicer arietinum},Full Term Match,'chickpea (whole):FOODON_03306811'
1,../data/AL/19.ann,"2 lemon, juice of",lemon juice of,lemon juice of,Component Match,'lemon juice:FOODON_03305428'
2,../data/AL/19.ann,3 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
3,../data/AL/19.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
3,../data/AL/19.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
4,../data/AL/19.ann,5 red pepper flakes,red pepper flakes,red pepper flakes,Component Match,'14050 - peppers
4,../data/AL/19.ann,5 red pepper flakes,red pepper flakes,red pepper flakes,Component Match, dried (efsa foodex2):FOODON_03541405'
0,../data/AL/16.ann,1 parsley,parsley,parsley,Full Term Match,'parsley leaf (whole):FOODON_00002942'
1,../data/AL/16.ann,2 oregano,oregano,oregano {origanum vulgare},Full Term Match,'12710 - marjoram
1,../data/AL/16.ann,2 oregano,oregano,oregano {origanum vulgare},Full Term Match, dry (efsa foodex2):FOODON_03541271'
2,../data/AL/16.ann,3 limoncello,limoncello,limoncello,No Match,
3,../data/AL/16.ann,4 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
4,../data/AL/16.ann,5 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
5,../data/AL/16.ann,6 salmon steaks,salmon steak,salmon steak,Component Match,'salmon:FOODON_00003473'
6,../data/AL/16.ann,7 spring onion,spring onion,spring onion {allium cepa},Full Term Match,'welsh onion (whole):FOODON_00003172'
0,../data/AL/6.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/6.ann,2 baking potatoes,baking potato,baking potato {solanum tuberosum},Component Match,'potato (whole
1,../data/AL/6.ann,2 baking potatoes,baking potato,baking potato {solanum tuberosum},Component Match, raw):FOODON_03301449'
2,../data/AL/6.ann,3 garlic salt,garlic salt,garlic {allium sativum} salt,Full Term Match,'garlic salt:FOODON_03307739'
3,../data/AL/6.ann,4 seasoning salt,seasoning salt,seasoning salt,Full Term Match,'seasoning salt:FOODON_03306222'
4,../data/AL/6.ann,5 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
5,../data/AL/6.ann,6 sour cream,sour cream,sour cream,Full Term Match,'sour cream:FOODON_03302515'
6,../data/AL/6.ann,7 chives,chive,chive {allium schoenoprasum},Full Term Match,'chive leaf (whole
6,../data/AL/6.ann,7 chives,chive,chive {allium schoenoprasum},Full Term Match, raw):FOODON_03311167'
0,../data/AL/29.ann,1 rolled oats,rolled oat,rolled oat,Component Match,'whole oats (raw):FOODON_03309855'
1,../data/AL/29.ann,2 seeds,seed,seed,Full Term Match,'seed:PO_0009010'
2,../data/AL/29.ann,3 chia,chia,chia,Full Term Match,'chia food product:FOODON_03000431'
3,../data/AL/29.ann,4 peanuts,peanut,peanut {arachis hypogaea},Full Term Match,'peanut (whole):FOODON_00003206'
4,../data/AL/29.ann,5 peanut butter,peanut butter,peanut {arachis hypogaea} butter,Full Term Match,'peanut butter:FOODON_03306867'
5,../data/AL/29.ann,6 brown rice syrup,brown rice syrup,brown rice {oryza sativa} syrup,Component Match,'brown rice:FOODON_00003436'
5,../data/AL/29.ann,6 brown rice syrup,brown rice syrup,brown rice {oryza sativa} syrup,Component Match, 'rice syrup:FOODON_03307722'
6,../data/AL/29.ann,7 honey,honey,honey,Full Term Match,'honey:UBERON_0036016'
0,../data/AL/47.ann,1 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/AL/47.ann,2 marshmallow,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
2,../data/AL/47.ann,3 oi,oi,oi,No Match,
3,../data/AL/47.ann,4 graham cracker,graham cracker,graham cracker,Component Match,'cracker:FOODON_00002711'
4,../data/AL/47.ann,5 chocolate cake mix,chocolate cake mixture,chocolate cake mixture,Component Match,'chocolate cake:FOODON_03305417'
4,../data/AL/47.ann,5 chocolate cake mix,chocolate cake mixture,chocolate cake mixture,Component Match, 'mixture:CHEBI_60004'
0,../data/AL/50.ann,1 flank steak,flank steak,flank steak,No Match,
1,../data/AL/50.ann,2 olive oil,olive oil,olive oil,Full Term Match,'olive oil:FOODON_03301826'
2,../data/AL/50.ann,3 steak seasoning,steak seasoning,steak seasoning,Component Match,'seasoning:FOODON_03301189'
3,../data/AL/50.ann,4 Canadian,canadian,canadian,Full Term Match,'canadian:ANCESTRO_0354'
4,../data/AL/50.ann,5 lime,lime,lime,Full Term Match,'lime (whole
4,../data/AL/50.ann,5 lime,lime,lime,Full Term Match, raw):FOODON_03305086'
0,../data/AL/1.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/1.ann,2 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
2,../data/AL/1.ann,3 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
3,../data/AL/1.ann,4 cinnamon,cinnamon,cinnamon {cinnamomum verum},Full Term Match,'cinnamon:FOODON_03301175'
4,../data/AL/1.ann,5 vanilla,vanilla,vanilla,Full Term Match,'vanilla:NCBITAXON_51238'
5,../data/AL/1.ann,6 maple syrup,maple syrup,maple syrup,Full Term Match,'maple syrup:FOODON_03301848'
6,../data/AL/1.ann,7 cinnamon roll,cinnamon roll,cinnamon {cinnamomum verum} roll,Full Term Match,'cinnamon roll:FOODON_03302318'
0,../data/AL/33.ann,1 watermelon,watermelon,watermelon,Full Term Match,'watermelon (whole
0,../data/AL/33.ann,1 watermelon,watermelon,watermelon,Full Term Match, raw):FOODON_03301040'
1,../data/AL/33.ann,2 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
2,../data/AL/33.ann,3 mint leaves,mint leaves,mint leaves,Component Match,'mint (whole or parts):FOODON_03000237'
3,../data/AL/33.ann,4 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
4,../data/AL/33.ann,5 ice cubes,ice cube,ice cube,Component Match,'ice:ENVO_01001125'
0,../data/AL/42.ann,1 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
1,../data/AL/42.ann,2 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
2,../data/AL/42.ann,3 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
3,../data/AL/42.ann,4 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
4,../data/AL/42.ann,5 vanilla extract,vanilla extract,vanilla extract,Component Match,'vanilla:NCBITAXON_51238'
5,../data/AL/42.ann,6 milk,milk,milk,Full Term Match,'milk:UBERON_0001913'
6,../data/AL/42.ann,7 confectioners' sugar,confectioner sugar,confectioner sugar,Component Match,'sugar:FOODON_03420108'
0,../data/AL/18.ann,1 cucumber,cucumber,cucumber,Full Term Match,'cucumber (whole
0,../data/AL/18.ann,1 cucumber,cucumber,cucumber,Full Term Match, raw):FOODON_03301545'
1,../data/AL/18.ann,2 coconut water,coconut water,coconut water,Component Match,'coconut (whole):FOODON_00003449'
1,../data/AL/18.ann,2 coconut water,coconut water,coconut water,Component Match, 'water:CHEBI_15377'
2,../data/AL/18.ann,3 jalapeño,jalapeño,jalapeño,No Match,
3,../data/AL/18.ann,4 himalayan sea salt,himalayan sea salt,himalayan sea salt,Component Match,'salt:CHEBI_24866'
3,../data/AL/18.ann,4 himalayan sea salt,himalayan sea salt,himalayan sea salt,Component Match, 'sea:ENVO_00000016'
4,../data/AL/18.ann,5 celery,celery,celery {apium graveolens dulce group},Full Term Match,'celery stalk (whole
4,../data/AL/18.ann,5 celery,celery,celery {apium graveolens dulce group},Full Term Match, raw):FOODON_03301727'
0,../data/AL/12.ann,1 eggs,egg,egg,Full Term Match,'egg food product:FOODON_00001274'
1,../data/AL/12.ann,2 sugar,sugar,sugar,Full Term Match,'sugar:FOODON_03420108'
2,../data/AL/12.ann,3 all purpose flour,purpose flour,all purpose flour,Component Match,'flour food product:FOODON_00001056'
3,../data/AL/12.ann,4 baking powder,baking powder,baking powder,Full Term Match,'baking powder:FOODON_03301940'
0,../data/AL/48.ann,1 butter,butter,butter,Full Term Match,'butter:FOODON_03310351'
1,../data/AL/48.ann,2 vegetable oil,vegetable oil,vegetable oil,Full Term Match,'vegetable oil:FOODON_03305263'
2,../data/AL/48.ann,3 marshmallows,marshmallow,marshmallow {althaea officinalis},Full Term Match,'marshmallow:FOODON_03305639'
3,../data/AL/48.ann,4 unsalted peanuts,unsalted peanut,unsalted peanut {arachis hypogaea},Component Match,'peanut (whole):FOODON_00003206'
4,../data/AL/48.ann,5 popcorn,popcorn,popcorn,Full Term Match,'popcorn food product:FOODON_00003139'
5,../data/AL/48.ann,6 candy corn,candy corn,candy corn {zea mays subsp. mays},Full Term Match,'candy corn:FOODON_03302541'
0,../data/AL/14.ann,1 basil pesto,basil pesto,basil {ocimum basilicum} pesto,Component Match,'basil (whole or parts):FOODON_03000233'
0,../data/AL/14.ann,1 basil pesto,basil pesto,basil {ocimum basilicum} pesto,Component Match, 'pesto sauce:FOODON_03310218'
1,../data/AL/14.ann,2 garbanzo beans,garbanzo bean,garbanzo {cicer arietinum} bean,Full Term Match,'10540 - chickpeas (without pods) (efsa foodex2):FOODON_03541054'
2,../data/AL/14.ann,3 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
3,../data/AL/14.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match,'garlic bulb (whole
3,../data/AL/14.ann,4 garlic,garlic,garlic {allium sativum},Full Term Match, raw):FOODON_03305208'
4,../data/AL/14.ann,5 cumin,cumin,cumin,Full Term Match,'cumin seed (whole):FOODON_00003396'
5,../data/AL/14.ann,6 lemon juice,lemon juice,lemon juice,Full Term Match,'lemon juice:FOODON_03305428'
6,../data/AL/14.ann,7 water,water,water,Full Term Match,'water:CHEBI_15377'
0,../data/AL/31.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match,'cavendish banana (whole
0,../data/AL/31.ann,1 banana,banana,banana {musa x paradisiaca},Full Term Match, ripe):FOODON_03311513'
1,../data/AL/31.ann,2 maraschino cherry,maraschino cherry,maraschino cherry,Full Term Match,'maraschino cherry:FOODON_03301256'
2,../data/AL/31.ann,3 cream,cream,cream,Full Term Match,'cream food product:FOODON_00001216'
0,../data/AL/10.ann,1 salt,salt,salt,Full Term Match,'salt:CHEBI_24866'
1,../data/AL/10.ann,2 pepper,pepper,pepper,Full Term Match,'sweet yellow bell pepper (whole):FOODON_00003548'
2,../data/AL/10.ann,3 avocados,avocado,avocado {persea americana},Full Term Match,'avocado (whole
2,../data/AL/10.ann,3 avocados,avocado,avocado {persea americana},Full Term Match, raw):FOODON_03305236'
3,../data/AL/10.ann,4 Hass,hass,hass,No Match,
